NumQubits;SizeOfDMat;SizeOfSMat;SizeOfFMat;CreationTimeDMat;CreationTimeSMat;CreationTimeFMat;AccessTimeDMat;AccessTimeSMat;AccessTimeFMat
3;1136;1192;40;0;0;0;0;1000704;0
4;4208;2288;40;0;1000960;0;0;2001920;1000704
5;16496;4712;56;0;1000960;0;0;8007424;3002624
6;65648;9328;56;0;1000960;0;0;33021952;13019648
7;262256;9328;72;0;1000704;0;3002624;118107392;54049024
8;1048688;147568;88;3002880;3002624;0;9007872;469426432;221200896
9;4194416;36976;72;5004544;1000960;0;38035968;1893719552;827742720
10;16777328;589936;120;35032064;16014848;0;156149760;7474786816;3807457280
3;1136;1192;40;0;0;0;0;850688;0
4;4208;2288;40;0;0;0;0;2001920;1000704
5;16496;4712;56;0;0;0;1000704;7006208;3002880
6;65648;9328;56;0;1000704;0;1001472;30026752;14012672
7;262256;9328;72;0;1000960;0;3002624;121110016;56051200
8;1048688;147568;88;2001408;3002880;0;10009344;475431424;223202560
9;4194416;36976;72;5004800;1000704;0;39035392;1872700160;831755264
10;16777328;589936;120;34030848;12010752;0;156141824;7541839872;3811460352
3;1136;1192;40;1000704;0;0;0;1001216;0
4;4208;2288;40;0;0;0;0;2001920;1000704
5;16496;4712;56;0;0;0;1000960;7006720;4003328
6;65648;9328;56;0;0;0;1000704;30026752;14021376
7;262256;9328;72;1000960;1000960;0;3002880;122102528;56050688
8;1048688;147568;88;2001664;3002624;0;10010112;475430656;220199936
9;4194416;36976;72;5004544;1000960;0;40044544;1875696128;843765760
10;16777328;589936;120;35030784;12009472;0;167151616;7548854272;3811469056
3;1136;1192;40;0;0;0;0;1008896;0
4;4208;2288;40;0;0;0;0;2001664;1000960
5;16496;4712;56;0;0;0;0;8007424;3002880
6;65648;9328;56;0;1000960;0;1000960;30027264;13011712
7;262256;9328;72;1000960;1000960;0;3002880;117106176;56050944
8;1048688;147568;88;2001664;2001920;0;10009088;472428800;219198976
9;4194416;36976;72;5004544;1000960;0;39035392;1868696832;849762560
10;16777328;589936;120;31037440;12011008;0;155140608;7519819264;3798457600
3;1136;1192;40;0;0;0;0;1001472;0
4;4208;2288;40;0;1008640;0;0;2001920;1000960
5;16496;4712;56;0;1000448;0;0;8007680;3002624
6;65648;9328;56;1000960;1000704;0;1000960;30027264;13012480
7;262256;9328;72;1000192;0;0;2001920;120108800;55049984
8;1048688;147568;88;2001920;3002624;0;10009088;471419392;219207680
9;4194416;36976;72;6005504;1000960;0;38034432;1859688448;836759808
10;16777328;589936;120;32029184;12010752;0;157142528;7487799040;3797447680
3;1136;1192;40;0;1003008;0;0;0;1007872
4;4208;2288;40;0;1000704;0;0;2001664;0
5;16496;4712;56;0;1000704;0;0;7999744;3010304
6;65648;9328;56;0;1000704;0;0;31028480;13011712
7;262256;9328;72;1000704;1000960;0;2994432;121118208;56051200
8;1048688;147568;88;2001920;2001664;0;10009600;485440256;219198976
9;4194416;36976;72;5004544;1000960;0;41037312;1861690368;827751424
10;16777328;589936;120;33030144;12010752;0;156141568;7540847104;3797447936
3;1136;1192;40;0;0;0;0;1001472;0
4;4208;2288;40;0;0;0;0;2001664;1003008
5;16496;4712;56;0;0;0;0;8007168;3002624
6;65648;9328;56;0;1000960;0;1000960;30027264;13011712
7;262256;9328;72;1001216;1000704;0;3002880;121109760;55050240
8;1048688;147568;88;1000960;3002624;0;10009088;469426176;221200896
9;4194416;36976;72;5004544;1000960;0;37033472;1875703040;830754560
10;16777328;589936;120;33030144;12011008;0;161146368;7475787776;3780432384
3;1136;1192;40;0;1001728;0;0;0;0
4;4208;2288;40;1008640;0;0;0;2001920;1000960
5;16496;4712;56;0;1001472;0;0;7005952;4003584
6;65648;9328;56;0;1000704;0;0;31028224;13011712
7;262256;9328;72;0;1000448;0;2001920;122110464;55049984
8;1048688;147568;88;2001664;3002624;0;10009344;475431424;217197056
9;4194416;36976;72;5004544;1000704;0;38034432;1872700416;822747136
10;16777328;589936;120;30027264;12011008;0;154139904;7496806912;3788439808
3;1136;1192;40;993024;0;0;0;1001984;0
4;4208;2288;40;0;0;0;0;2001920;1000704
5;16496;4712;56;0;0;0;1000960;7006464;4003328
6;65648;9328;56;0;1000960;0;1000960;30027264;13011712
7;262256;9328;72;0;1000960;0;3003392;121109248;55049984
8;1048688;147568;88;2001920;3002880;0;9007872;475431680;224203520
9;4194416;36976;72;5004544;1000960;0;40036352;1855684864;826750720
10;16777328;589936;120;30027008;11010816;0;155140864;7505815040;3795446272
3;1136;1192;40;0;994048;0;0;0;999936
4;4208;2288;40;0;1008384;0;0;2001920;0
5;16496;4712;56;0;1000704;0;0;8007424;3002624
6;65648;9328;56;0;1000704;0;0;30027264;13011712
7;262256;9328;72;0;1000960;0;2001664;124112640;54049024
8;1048688;147568;88;2001920;3002880;0;10009088;471427840;222201856
9;4194416;36976;72;6005248;1001216;0;38034944;1862691072;825741056
10;16777328;589936;120;32037632;12011008;0;155140864;7467780608;3782434304
3;1136;1192;40;0;1002240;0;0;0;0
4;4208;2288;40;0;0;0;0;2001920;1000704
5;16496;4712;56;0;1000704;0;0;7006464;4003584
6;65648;9328;56;0;1000960;0;0;30027264;13011712
7;262256;9328;72;1000960;1001216;0;2001664;117106688;55049472
8;1048688;147568;88;2001920;3002624;0;10009088;475431680;222201856
9;4194416;36976;72;5004800;1000960;0;40036352;1861690368;842765056
10;16777328;589936;120;31028480;12011008;0;154139904;7490801664;3781433344
3;1136;1192;40;0;0;0;0;1000704;0
4;4208;2288;40;0;1008384;0;0;2001664;1000960
5;16496;4712;56;0;993024;0;0;8014848;3002880
6;65648;9328;56;0;1000704;0;0;30027264;14012928
7;262256;9328;72;0;1000704;0;2001920;118107392;54049024
8;1048688;147568;88;2001920;3002880;0;9007872;467424768;220199936
9;4194416;36976;72;5004544;1000960;0;38034432;1857686784;831755008
10;16777328;589936;120;32029184;11010048;0;156142592;7535372032;3797216768
3;1136;1192;40;0;993536;0;0;1008384;0
4;4208;2288;40;0;993280;0;0;2009344;992768
5;16496;4712;56;0;1008896;0;0;8007424;3002624
6;65648;9328;56;0;1001216;0;0;31027968;13011712
7;262256;9328;72;1000704;1001216;0;3002624;118107136;55050240
8;1048688;147568;88;2001664;3003136;0;9007872;482438144;220199936
9;4194416;36976;72;5004544;1000704;0;38034432;1875670016;839753472
10;16777328;589936;120;31037184;12010752;0;155141120;7494804736;3789440768
3;1136;1192;40;0;0;0;0;1000448;0
4;4208;2288;40;0;1008896;0;0;2001664;1000960
5;16496;4712;56;0;1000960;0;0;8007168;4003840
6;65648;9328;56;0;1000960;0;1000704;30027264;14012928
